Attributes,HeLa.S3.WT.00_h.R1,HeLa.S3.WT.00_h.R2,HeLa.S3.WT.00_h.R3,HeLa.S3.WT.02_h.R1,HeLa.S3.WT.02_h.R2,HeLa.S3.WT.02_h.R3,HeLa.S3.WT.04_h.R1,HeLa.S3.WT.04_h.R2,HeLa.S3.WT.04_h.R3,HeLa.S3.WT.08_h.R1,HeLa.S3.WT.08_h.R2,HeLa.S3.WT.08_h.R3,HeLa.S3.WT.16_h.R1,HeLa.S3.WT.16_h.R2,HeLa.S3.WT.16_h.R3,HeLa.S3.WT.24_h.R1,HeLa.S3.WT.24_h.R2,HeLa.S3.WT.24_h.R3
E1WGD2,10.5,10.5,14,7,6,2,16,27,7,9.5,28,11,27,37.5,34,92.5,104.5,127.5
E1WGD3,7.5,11.5,13,6,12,1.5,11,19,10.5,11,18.5,16.5,30.5,30.5,32,80,92.5,126
E1WGD4,60,88.5,117,11,16,13,23,37,37.5,133.5,214,67,311.5,346.5,262.5,1040,1194,1113
E1WGD5,26.5,39,44.5,2.5,5,0,5.5,5.5,1,9,13.5,10,36.5,50.5,41.5,353,326.5,358.5
E1WGD8,1.5,3,1.5,0,1,0,2,2,1.5,0.5,4,2,4.5,10.5,8.5,41,53,60.5
E1WGD9,10,11,9,3,3.5,0,6.5,9,3,6,12.5,5,16,28.5,19,86,99.5,125.5
E1WGE0,36,37.5,60,8.5,8.5,2,15,33.5,11.5,22.5,39,21,61,61,48,222.5,221.5,289.5
E1WGE1,23.5,33,25,9.5,8,0,10.5,16.5,9.5,10,24.5,11,39,58,38,178.5,188,237.5
E1WGE2,81,89,117.5,13,16.5,7,28.5,57.5,19.5,40,69.5,28,153.5,147.5,112.5,697,678,821.5
E1WGE3,9,7.5,9,1,4.5,0,4.5,9,4,2.5,9,5.5,9.5,10.5,15,42,43.5,63
E1WGE4,5.5,3.5,3,0.5,1,1,1.5,5,0.5,1.5,5,2.5,6.5,10,11.5,40,38,61.5
E1WGE5,17,19.5,22.5,0.5,4,0,2,4,1.5,2,4.5,3.5,14,12,16.5,53.5,66.5,89
E1WGE6,19,20,23.5,1.5,3.5,0.5,3,9,0.5,7.5,7,6.5,19.5,17.5,30,115.5,122,153.5
E1WGE7,10.5,14.5,16,0.5,1,1,1,4,3,3.5,15,3.5,16,18.5,27,131,145.5,200.5
E1WGE8,9.5,8.5,11,2,6.5,0.5,8,7,18.5,12,29,17.5,91,119,115,307,322,446
E1WGE9,6.5,8,8.5,2,1,0,2,5.5,0,0.5,2.5,1,6.5,7,6,27.5,21.5,30
E1WGF0,51.5,50,45,6.5,10,4.5,8,19,6.5,10.5,15,10.5,49,68,60.5,385.5,383.5,474.5
E1WGF1,5.5,7.5,9.5,3,2,3.5,4.5,9,4.5,8,12.5,21,18.5,24.5,22.5,105,125,114.5
E1WGF2,19.5,13,19,1.5,2,0,2.5,4,2.5,1.5,5,2,14,9.5,22,98,100,130.5
E1WGF3,12,13,14,0.5,0,0,0,0.5,0.5,0,0,0.5,2,1.5,4,10,6.5,10
E1WGF4,52.5,72,70,1,1,0,1.5,3,1.5,1,4,3,5.5,5.5,6,29,37.5,56
E1WGF5,49,61,66,0,0.5,0,0,1.5,0.5,0,0,0,4,2,4,17,27,36
E1WGF6,111,137.5,215,1,1,1,2,3.5,1.5,2,3.5,1.5,8,10.5,10,44.5,49,51.5
E1WGF7,111.5,146,165.5,2,0.5,0,2,4,0,0,3,2,3.5,2.5,6.5,22,22,30
E1WGF8,75.5,114.5,111,3,1,0.5,2,4,1,0.5,0.5,1.5,4,4,3,10.5,22.5,27.5
E1WGF9,54,78.5,57.5,1.5,4,1,3,3,0,0.5,0.5,0,0.5,0.5,4,19.5,17,22
E1WGG0,124,163.5,139.5,1.5,0.5,3.5,3.5,4,2.5,2,2.5,1,4,6.5,3.5,37,37.5,38.5
E1WGG1,116.5,133,134.5,3,3.5,0,1.5,2,0,3,4.5,3,3.5,3.5,7,22,25.5,29
E1WGG2,245.5,302,345.5,4,4.5,0,7,5.5,3.5,2.5,4,5,8.5,7,9.5,48,46.5,66
E1WGG3,53.5,52,68.5,0.5,3.5,0.5,1,2,2,0,0.5,0,0.5,2.5,5,21.5,22,26
E1WGG4,58,67.5,91,0,2.5,1.5,1,0.5,0.5,0,0.5,0.5,1.5,0,2,22,19.5,23.5
E1WGG5,87,107,92.5,11,19,8.5,6.5,24,7,3.5,15,8,29,31,32.5,172.5,201,212.5
E1WGG6,48.5,74,33.5,10,12,2.5,6.5,8.5,3.5,5,13.5,7.5,18,26.5,20.5,91,116,132
E1WGG7,23.5,23.5,8.5,3,3,1,4.5,11,1,13,18.5,6.5,39.5,56,18,144,155.5,35
E1WGG8,30,34.5,31.5,3.5,3,2,10.5,12.5,3,9.5,22.5,10,26,39,39,80,84.5,89
E1WGG9,14.5,28,25,1,1.5,1,3,6.5,4,3.5,12,11.5,22,25.5,25,36.5,41.5,56
E1WGH0,1.5,5,1.5,0,2,0,0.5,1.5,1.5,0,2,0,0,2,4.5,11.5,14,27.5
E1WGH1,4,1,3,0,0.5,0.5,1.5,1,1.5,2,4,2,3.5,5.5,7.5,33,45.5,44.5
E1WGH2,1.5,2,1,0,0,0,0.5,0.5,0,0.5,1.5,2,1.5,2,10,23,30.5,27.5
E1WGH3,29.5,49.5,31.5,0,0,0,0,0.5,0.5,0.5,1.5,0,2,0,3,4,7,6.5
E1WGH4,5.5,7.5,7.5,2.5,1.5,0,0,2.5,1.5,2.5,3,2,5.5,5.5,7.5,29,30,38
E1WGH5,0,0,0.5,0,0,0,0,1,0.5,0,0.5,0,1,0.5,3,5,8,10.5
E1WGH6,23,23.5,22.5,2,2,1.5,2.5,1.5,2,1,3.5,3.5,13,18,19,89.5,89,126
E1WGH7,20.5,45,39,10,8.5,14,21,26.5,10,40,52,35.5,84.5,96.5,99,274,261.5,279
E1WGH8,8,7.5,5,12,10,2,15.5,32,6,16,45,21,42.5,60.5,25,64.5,86.5,76
E1WGH9,5,5.5,1,17.5,17,5.5,29.5,41.5,12.5,36.5,100,35,104.5,128,72,77.5,97,98.5
E1WGI0,5,1,2.5,15,17,12,26,22,9,11,34,36,45,51,32.5,37,68.5,71.5
E1WGI2,29,39,34.5,4,1,2,2.5,13,3,2,5.5,5,7,9.5,11,20.5,33.5,51
E1WGI3,24.5,58,33,8.5,9.5,2,11,16.5,9,14,28,13,35,44.5,31,98,125.5,129.5
E1WGI4,32.5,35,32.5,13,5,4.5,5,16,4,20,27.5,15,40,44,32.5,126,159.5,180
E1WGI5,16,21,21.5,1,0,0,3,2,0.5,0.5,3,2,3.5,6,6.5,31.5,33.5,42.5
E1WGI6,5.5,12.5,13,1,0,0,1.5,2,0.5,2,1,4.5,5.5,5,8.5,27,29,36.5
E1WGI7,7,12.5,14.5,0.5,2.5,0,2.5,1.5,3,3.5,1,4.5,10,8.5,8,28,33,36
E1WGI8,4.5,8.5,8.5,2,0.5,0,0,2.5,1.5,2,2,3,11,5.5,6.5,16.5,23,28
E1WGI9,7,12,20,1,1.5,1,1,7.5,2,1.5,2.5,5,9.5,11,8,27.5,27.5,43
E1WGJ0,36.5,37.5,68.5,8,6,1,5,10,6,7.5,13.5,12,29,37.5,36,111,149.5,150.5
E1WGJ1,32.5,32,37.5,0,0.5,0,1,0.5,0.5,0,1,1.5,2,1.5,1.5,8,19.5,12
E1WGJ2,210,278.5,247,2,1.5,1,3,4,1.5,1,3,6,8.5,8,4,34,30,24
E1WGJ4,40.5,42,47.5,0,1.5,1.5,1.5,3.5,0,1.5,0.5,2.5,1,7,7.5,31,51.5,55.5
E1WGJ5,1763,2046,2560,17.5,26.5,5,45.5,24.5,10.5,9.5,13.5,15.5,14,26,37,89.5,86,114.5
E1WGJ6,164.5,182.5,200.5,2.5,3,2,4.5,1,1,4,3,3.5,8.5,5,6.5,37,53,67.5
E1WGJ7,33,27.5,34.5,0.5,0,1,0.5,0,0.5,1,0,0.5,0,1,1.5,8.5,4,10
E1WGJ8,24.5,39,27.5,0,0,0,1.5,0,1,0,1,3,0,2,3,11,8.5,18.5
E1WGJ9,18,16,13.5,2.5,1.5,2,4.5,0.5,1.5,6,8,3.5,8,9.5,8,29.5,37.5,50.5
E1WGK0,29,39,31,0,3.5,0.5,5,7.5,6.5,3.5,8.5,7.5,14,13,11,57,68.5,83.5
E1WGK1,4.5,11.5,6,0,0.5,0,0,1.5,1,1,1,0.5,1.5,4.5,3,21.5,12.5,22
E1WGK2,1,5,1.5,0,0,0,0.5,0.5,0.5,1.5,0,0.5,1.5,0.5,3,5.5,10.5,12
E1WGK3,21.5,26.5,12,0,1.5,0.5,0,0,0.5,0,0.5,0,1,0.5,1.5,8,7,10
E1WGK4,9.5,9,16,0,0,0,0,0,0,0,0,0,0.5,0,1.5,1.5,9.5,9
E1WGK5,155.5,177.5,247.5,13.5,20,11.5,29.5,46,40.5,138,360.5,93,417.5,518,335,974.5,977,1188.5
E1WGK6,78.5,97,111,0,0,0,0.5,1,0.5,0.5,1.5,2,4.5,5,4,18,20.5,28
E1WGK7,47.5,53.5,66,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,3,1.5,1,16.5,15,14
E1WGK8,45.5,50.5,45.5,0,0,1.5,1,1.5,0,0.5,0,0,1,0.5,3.5,21,20.5,23
E1WGK9,17,15.5,23,0,0,0,0,0,0,0.5,0,0,1,0.5,2,15,7,11
E1WGL0,25,34.5,42,0,0,0,1,2,0.5,0,0,0,3.5,1.5,1.5,19.5,28.5,28
E1WGL1,48,50.5,58.5,0,1,0,1,2.5,0.5,0,0.5,0,2,2,1.5,8.5,12,16.5
E1WGL2,95,129,99,1.5,2.5,3.5,4.5,6,0.5,4,12,8,9,6.5,6,19,27.5,23
E1WGL3,47.5,72.5,40.5,0,4,1.5,3.5,3.5,1.5,5,8.5,4.5,12.5,10.5,9,18.5,19.5,20.5
E1WGL4,21.5,26.5,34,0.5,0,0,0,0.5,0.5,0,0.5,0,3,1.5,2,4,8,11.5
E1WGL5,25,29,21,0,0.5,0,1.5,4,0,2,3,0.5,5,4,6,22,26,24.5
E1WGL6,14.5,19,13.5,0.5,0,0,1.5,2,0.5,0.5,2.5,1,2.5,4,3,8.5,16,17
E1WGL7,10.5,10.5,8,0,0,0,0.5,3,1,0,1.5,1,2.5,5,3,12.5,12,13.5
E1WGL8,5.5,6,3,1,0,0,1.5,2.5,0,1,3,1.5,6,5.5,8.5,39,50,48
E1WGL9,19.5,26.5,25.5,2,2,4,2.5,6,5,3,6,11.5,20,20.5,15.5,30,47,60.5
E1WGM0,6.5,7,1.5,1,0,0,4.5,2,3.5,2.5,4,4,8,12,12.5,21.5,20.5,19.5
E1WGM1,2,2,1.5,0,1,0,1.5,2,0.5,2.5,3.5,2,7.5,10.5,4.5,38.5,38.5,42
E1WGM2,6.5,12.5,13,1,1.5,0,9.5,6,2.5,4.5,25.5,8,18.5,17.5,12,62,70,75
E1WGM3,14.5,14,15.5,1,1,2.5,6.5,8,5,7.5,10.5,15.5,20,20,16,37.5,36.5,63.5
E1WGM4,7.5,8.5,18.5,0,0,1.5,3,4.5,1,1,7.5,3.5,10.5,9,10.5,33.5,38.5,50.5
E1WGM5,1.5,1.5,1.5,0,0,0,0.5,1,0,0.5,1,0.5,3,3.5,5.5,17,13.5,31
E1WGM6,4.5,6.5,6,0,0.5,0,4.5,1.5,0.5,0.5,5,2.5,5.5,9.5,5.5,42,46.5,51
E1WGM7,26,32.5,30,2.5,3,0,3.5,7.5,5.5,10.5,15,9.5,28,26.5,22.5,131,140,176.5
E1WGM8,3.5,3.5,6,2.5,1.5,1,4,4,0.5,1,1.5,3.5,8.5,10,14.5,82,73,114.5
E1WGM9,0.5,0.5,2,0,0.5,0,0,0,0,1,1,0,3,5.5,6.5,33,34.5,59.5
E1WGN0,12,12,4,0,1,0,2.5,4,1,3,2,2,9.5,6,11,53.5,61.5,69
E1WGN1,522,654.5,428.5,29.5,33,8.5,52.5,95.5,13,21.5,43.5,49.5,105,124.5,104,294,325,445
E1WGN2,6,8.5,7,2,0,0.5,1.5,3,0,3,5.5,1,16,31,32.5,240,266.5,311
E1WGN3,3.5,1.5,1.5,1,1.5,0,3,0.5,0,1.5,2,1.5,9,7.5,13,91,121.5,134
E1WGN4,2.5,1.5,1.5,0.5,1.5,0,0.5,1,0,0,1.5,0,5.5,8,7,51,51,73
E1WGN5,12.5,5,4,2,3.5,0.5,2.5,5.5,0.5,1.5,5,7,9,10,15.5,42,58,100
E1WGN6,7,5.5,5,28.5,42,4.5,53.5,100.5,39,75,163.5,86.5,232.5,327.5,277,816,1046.5,1292.5
E1WGN7,1,5.5,2.5,1.5,1.5,3.5,3,2.5,0.5,1.5,1,2,11,10.5,14,65.5,93.5,113.5
E1WGN8,3.5,5,4,2,0.5,2.5,1.5,0,1,1,2,1,7.5,10,7.5,73,80.5,83
E1WGN9,0.5,0,1,1,2,2.5,0,3.5,1.5,1.5,2,1.5,1.5,2.5,5,8,16.5,13.5
E1WGP0,1.5,1,1,0.5,2.5,3,1.5,2,0.5,0,1,0.5,0,1,2,11.5,12.5,22
E1WGP1,0.5,1.5,0,0,1,1,0,0,0.5,0.5,2,1.5,1.5,2.5,2,5.5,13.5,11.5
E1WGP2,0.5,2,2.5,0,1,0,0,0,0.5,0,2,1,4.5,1.5,2,6.5,6.5,19
E1WGP3,2,3,2,2,1,1.5,0.5,2,0.5,0.5,3,1,4.5,0,4,18,13,13
E1WGP4,4,4,2.5,1.5,3,4,0.5,4.5,3,1.5,5,1.5,3.5,2,4.5,27.5,21.5,23.5
E1WGP5,1.5,1.5,3.5,1,3,4,0.5,1.5,1.5,2.5,8.5,5,6,6.5,4.5,18.5,22.5,36
E1WGP6,7,3,6.5,3.5,4.5,10.5,3,6.5,4,20.5,10.5,7.5,16,13.5,11.5,39,47,50.5
E1WGP7,0.5,3,1,0.5,2,1,0,0.5,0,0,3,1.5,5,0.5,2.5,12,12.5,18.5
E1WGP8,2,5.5,3,4,3,3.5,0.5,1.5,1.5,0.5,3.5,1.5,5.5,2.5,5.5,8,13,23
E1WGP9,4.5,2.5,8.5,7,5,6.5,3,1,6.5,4.5,7,5,6.5,9.5,8.5,32.5,39.5,40
E1WGQ0,1,1,0.5,1.5,2.5,5.5,1,0,0.5,0,0.5,0,0,0,1,2.5,4,4.5
E1WGQ1,0,1,1,0,0.5,0.5,0,0,1,1,2.5,0,1.5,1,3,16,6,10
E1WGQ2,2,4.5,3,0.5,1,3,0.5,1.5,1.5,1.5,0.5,0.5,1,2,2.5,7,7,6
E1WGQ3,2,2.5,3,1.5,2.5,3.5,0.5,1.5,0.5,0.5,64,23,7.5,9,6.5,16.5,14.5,54.5
E1WGQ4,0,0.5,1.5,0,2.5,4.5,0.5,0.5,0.5,1.5,1.5,1.5,2,2.5,2,5.5,9.5,8
E1WGQ5,6,0.5,4.5,3.5,6.5,18,1.5,3.5,2.5,1.5,2,4.5,4.5,6,7.5,12,17,13
E1WGQ6,7,6.5,2.5,1.5,1.5,5.5,2.5,4.5,1.5,0.5,2,4.5,1.5,3.5,3,8.5,14.5,13
E1WGQ7,2.5,2.5,5,2,0.5,1.5,0.5,2,1.5,2,2,3.5,3.5,0.5,4.5,25.5,16.5,156.5
E1WGQ8,6,5.5,8,1,4.5,5,3.5,4.5,0.5,1,3,5,3.5,3.5,4.5,30.5,29,31
E1WGQ9,5.5,4,4,0.5,2,0.5,0,1,1,0,1.5,3.5,7,1,2,10.5,10.5,17.5
E1WGR0,0,2.5,1.5,1,2,0,0.5,0,1,0,0.5,0,2.5,0.5,2.5,4.5,3.5,5
E1WGR1,8,9.5,4,3.5,6.5,5,2,5.5,1,1,6,5.5,6,5.5,9,17,25.5,28
E1WGR2,2,1,2.5,0.5,3.5,2,0,0,1,0,0.5,0.5,0,0.5,2,7.5,3,7.5
E1WGR3,1.5,5.5,1.5,0.5,5,4,0.5,1,0.5,0.5,4,2,2,1.5,1.5,7,7,10.5
E1WGR4,1.5,1.5,3,2.5,2,3,0.5,0.5,0.5,0.5,0.5,2,0.5,2,1,2.5,7.5,7.5
E1WGR5,0,1,2,0.5,0,0,0.5,1,0,0,0,2,0.5,1,1.5,3.5,7,4.5
E1WGR6,16.5,20.5,8.5,4.5,1.5,0,2.5,9,0.5,2,2.5,11,5,8,15.5,17,29.5,39
E1WGR7,6,2,1.5,0.5,0,1,1,0.5,1,1,7,0,5.5,2,4.5,14.5,38.5,35
E1WGR8,3,1.5,1,2,0.5,0,0.5,2,1,0,0.5,1.5,3,3,2.5,13.5,13,23
E1WGR9,1.5,5,2.5,0,1,4,2,0.5,0.5,0.5,3.5,1,3,0,2.5,6,12,15.5
E1WGS0,1.5,3,4,0.5,2.5,2,0,0,1,0.5,1.5,1,4.5,4,8,11,16.5,50.5
E1WGS1,30.5,38,43.5,3,1.5,5,4,4,8,16.5,52,15,70.5,102,79.5,332.5,356.5,473
E1WGS2,1,2.5,1.5,0.5,0.5,0,2,0,0,1,1.5,1,0,1.5,0.5,10.5,7,10.5
E1WGS3,154.5,126.5,167.5,11.5,17,25.5,26,37.5,79.5,275.5,283.5,124.5,568,679.5,691,1531,1917.5,2898
E1WGS4,49,39.5,12.5,2.5,7,4.5,8,13.5,5,25.5,75,19.5,89.5,115,104,201.5,295.5,287
E1WGS5,148,205.5,118,18,11.5,9,35.5,32.5,9,7,24,20.5,61.5,75,91,423,456,532.5
E1WGS6,47,63,58.5,15,12,6,6,11.5,3.5,4.5,3.5,8.5,11,15.5,7.5,49,57.5,47
E1WGS7,10,11.5,10.5,2.5,6.5,2.5,2.5,9,1.5,0,2.5,3.5,4.5,4.5,4.5,16.5,24.5,25
E1WGS8,0.5,2.5,2.5,0,1,0,0,0,0.5,0,0.5,0,0,1,0.5,5.5,8,3.5
E1WGS9,6.5,7,10,0,0,0,2.5,2,4,8.5,17.5,4,25,29,43,69.5,124.5,156
E1WGT0,1.5,0,2,0,0,0,0.5,0,0,0.5,1,0,0,0.5,1,7,11,10.5
E1WGT1,6.5,3.5,5.5,0,3,0.5,0,2,1,0.5,0.5,1,2,2,3.5,14.5,22,12.5
E1WGT2,1.5,2,1.5,1,2,0,0.5,0,0.5,0.5,0,1,2.5,2.5,2,6,12.5,16
E1WGT3,0.5,0.5,1,0.5,0,0,0,0,0,0,0.5,0.5,0,2.5,3,6.5,11,5.5
E1WGT4,33.5,32.5,37.5,0,2,0.5,4.5,8,2.5,5,1.5,7,8.5,9,12.5,64.5,68.5,92
E1WGT5,3,5,3,0.5,0.5,0,3,2.5,1.5,2.5,6,7,6,11,7,38,55,52.5
E1WGT6,2,1.5,2,0,0,0,0.5,0,0,0,0,0,1.5,0.5,1,9,7,14.5
E1WGT7,4.5,2,4,0,0.5,0,0,1.5,0,0,0.5,0,1,3.5,0.5,13,15,21.5
E1WGT8,3,3,2,0,0,0,0,0,0,0,0.5,0,0,1,1,5.5,5,6
E1WGT9,1,0,2,0,0,0,0,0.5,0,0,0,1,1.5,0.5,1.5,9,9,5
E1WGU0,3.5,3.5,5,0,1,0,0.5,0.5,0,0,0.5,1,2.5,3,6.5,27.5,24,39
E1WGU1,2.5,14.5,9,0,1,0,0.5,1,1,0.5,2,1.5,3,1,5,24,30,50.5
E1WGU2,3.5,3,6,0,0,0,0.5,2,0,1,2,1.5,3,8.5,7,14.5,21.5,25
E1WGU3,21,19.5,33.5,1.5,6,5,5,8.5,6.5,8,17,6,38.5,25,22,58.5,76,73
E1WGU4,8.5,5,3,0.5,2.5,1,1,2.5,1,5,4,3.5,6.5,6,7.5,23,29.5,25
E1WGU5,22,26,15,2.5,3.5,1,7.5,2.5,4,8,7.5,7.5,11,17,18,58,55,65.5
E1WGU6,6,10.5,4.5,0,0,0.5,2.5,2.5,1,1.5,1.5,2,6.5,5,8,26,27.5,40.5
E1WGU7,10,14.5,9,0,0,0,2.5,1.5,2,4,3,1,3.5,2,5.5,26,24.5,31
E1WGU8,12,11,12.5,4,1,0,4,6,2,2,8,2,16.5,21.5,27.5,139,196.5,192.5
E1WGU9,3.5,5.5,10,0,2,0.5,0.5,3,1.5,2.5,6,3.5,6,14.5,9.5,27.5,35.5,45.5
E1WGV0,7.5,8,10.5,1,2,1,0.5,5.5,1.5,1,3.5,6,11,12.5,2.5,21.5,30,50.5
E1WGV1,7.5,5,6.5,1.5,1,0,1,0.5,0.5,0.5,2,1,5.5,3,5,21.5,26,32
E1WGV2,13,7,10.5,0,1,0,0,1.5,0,2,10,4.5,9,13.5,11,41,46.5,58
E1WGV3,8.5,8,6.5,0.5,1.5,0,2.5,3,0,2,1,4,4,5.5,11,22,25.5,23
E1WGV4,8,13.5,9.5,2,1,0,1.5,2.5,1.5,1,2,0.5,2,7.5,5.5,22,25,22.5
E1WGV5,4,3.5,3.5,0,0,0,0,1,0,0.5,0,0,1,3,1.5,4.5,6,5.5
E1WGV6,4.5,9,8,0,1.5,0,0,0,1.5,2.5,2,1,4.5,3.5,4,12,18,24
E1WGV7,6,8,8,0.5,0.5,0,1.5,0,0,1,0.5,4.5,2.5,5,2.5,11,13,22.5
E1WGV8,4.5,5,4.5,0,1,0,0,1,0.5,0,3,1.5,2.5,5.5,3,19,13,18
E1WGV9,6,7,8,0,0,0,0.5,1.5,0,1.5,2.5,2.5,3,2,4.5,8.5,8.5,12.5
E1WGW0,7,5.5,6,0,0,0,0,1,0,0.5,5.5,2.5,3,4.5,6.5,5.5,9.5,18
E1WGW1,2,3,5.5,0,0,0,0.5,0.5,0,2,1.5,2.5,2.5,5,3,10.5,13.5,11
E1WGW2,2.5,3.5,2.5,0,0,0,0,0.5,0.5,1.5,5.5,1,2.5,8,2.5,10.5,9.5,9
E1WGW3,1.5,4,1,0.5,0,0,0,0,0,0.5,0,0.5,8,5,5,7.5,5.5,11
E1WGW4,1,2,3,0,0,0,0,0.5,0,2,3,1,4.5,4,4.5,5,4.5,11.5
E1WGW5,2.5,5.5,3.5,0,0,0,0,1.5,0,2,1.5,1,6.5,11,9.5,12.5,17.5,17
E1WGW6,1,3.5,1.5,0,0,0,0.5,0,0.5,0.5,0.5,1,3,3.5,1,11,6,9.5
E1WGW7,1,1.5,2.5,0,0,0,1,0.5,0.5,0,1,2,4.5,5,4,12,14,16
E1WGW8,2,3.5,6.5,0,0,0,0,2,2,2.5,6,1,5.5,5.5,1.5,17.5,16.5,24
E1WGW9,6.5,3.5,8.5,1,0.5,0,0.5,2.5,1.5,0.5,4.5,2.5,3.5,3,8,20,34.5,62
E1WGX0,1.5,4.5,3,0,1,0,0,0.5,1,0,1,0,1,3,4,16,20,23
E1WGX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.5,3
E1WGX2,0,0.5,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,7.5,7,9.5
E1WGX3,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0,1,1,2.5,9,7.5,14.5
E1WGX4,0,0,0,0,0,0,0,0.5,0,0,0.5,0,1,0,2,6.5,6,9
E1WGX5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,10,6,14
E1WGX6,1,0.5,3.5,0,0,0,1,0,0,0,0,1.5,0,3.5,2.5,26,24,23.5
E1WGX7,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,4,3.5,4.5
E1WGX8,0,0,0,0,0,0,0,0,0,0.5,0,0,1.5,0.5,0.5,2.5,1.5,6.5
E1WGX9,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,2,6.5,6,7
E1WGY0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.5,14,7,14
E1WGY1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4.5,5,7.5
E1WGY2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,3,5,2
E1WGY3,0,3.5,0,0,0,0,0,0,0,0,0,0,1,1,2.5,13.5,12.5,12.5
E1WGY4,1,0.5,0.5,0,0,0,1,0,0,1,0,1,1,1.5,2,16,16.5,13.5
E1WGY5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,2,14.5,9.5,13
E1WGY6,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,1,22.5,14.5,16
E1WGY7,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,1,1,7,10,13
E1WGY8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5
E1WGY9,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,9,9.5,9.5
E1WGZ0,1.5,4.5,1,0.5,0,0,1.5,1,0.5,0,0,2,0.5,3.5,3,22.5,24.5,52.5
E1WGZ1,19,18.5,15.5,1.5,1.5,0.5,1.5,7,2.5,4.5,7.5,10,14,20.5,26,87.5,116,129.5
E1WGZ2,184.5,213,165.5,16,24,15,25,49,15,18,36.5,46.5,72,64.5,86,297,311,373.5
E1WGZ3,13,14,13.5,1.5,2.5,5.5,3.5,9.5,5,3.5,8,5.5,21.5,26.5,26,117.5,144,177.5
E1WGZ4,7.5,9,2.5,22.5,21.5,15,17.5,36.5,13,26,50,42,62.5,82,83,340.5,344.5,339.5
E1WGZ5,8.5,13,11,2,2,0,3.5,3,1.5,1.5,4,4.5,8.5,10,10,38.5,34.5,61
E1WGZ6,4,7.5,4.5,0,0,0.5,1.5,0,0,2,0,0.5,5,5,5,14.5,21.5,32
E1WGZ7,1,1,2.5,0,0,1,0,0,0,2,1.5,1,3.5,1,2,13,23,24.5
E1WGZ8,3.5,3.5,7.5,0,0.5,0,2,2,0.5,1,3,2,4,6,5,28,31.5,37.5
E1WGZ9,20.5,19.5,21,5.5,7,5.5,16.5,18,5,11,18.5,12.5,26,34,22,104.5,110.5,129
E1WH00,16.5,13.5,19.5,1.5,2,0.5,1.5,5.5,1,3,4.5,1,5.5,12.5,12.5,46,52,67
E1WH01,31.5,42.5,49.5,3,3,0,2.5,6.5,1.5,4,8.5,3.5,25,37,33.5,177.5,206.5,245
E1WH02,9,14,15.5,0.5,0.5,1,3.5,6,2,4.5,16.5,7.5,19,22,27.5,64,87.5,73
E1WH03,25,27,27.5,5,5.5,0.5,9,33.5,9,14,29,27,46.5,45,54.5,128,154,167
E1WH04,10,14,33,1.5,4,1,9.5,10.5,4.5,18.5,43.5,16.5,124,158,78,99,120,115
E1WH05,14,18,22,6,3.5,1.5,12.5,17.5,2.5,19.5,57,11,122.5,168,90.5,141,159.5,168.5
E1WH06,8.5,18,16.5,2.5,6,2,7,11.5,3.5,19,50,13,77.5,116.5,70.5,121.5,137,152
E1WH07,16,24,19,6.5,12,0,16,34.5,4,39,81,16.5,158,177,145.5,248,271,272.5
E1WH08,12,12.5,14,2,5,4,10.5,14,3,17.5,44,17,97,95,72,125.5,141,133
E1WH09,7,10,11,1,3.5,0,6,10,2,13,25,9,68.5,94,69,102,95,112
E1WH10,18,15.5,19.5,1,5.5,0,8.5,18,4,24,39.5,14,99,143,95,151.5,162,174.5
E1WH11,15.5,11,20,1,7.5,1.5,5.5,10,3.5,14,25,11.5,98.5,109,83.5,137.5,141,144
E1WH12,118,130.5,159.5,10.5,19.5,9,27.5,46.5,13,14,51.5,32.5,60.5,79,71.5,312,349.5,439.5
E1WH13,16.5,20,16.5,18,21.5,3.5,26.5,36.5,10,13.5,57,30,47.5,62,26,78,84,109
E1WH14,54,67.5,63,5,10,0.5,12.5,16,7.5,21,37.5,14.5,40,42.5,43.5,129,145.5,162.5
E1WH15,66,82,74,2.5,11,1,11,23,5.5,13.5,32.5,16,40,42.5,39,123.5,142.5,179.5
E1WH16,67.5,82.5,75.5,5,4.5,4.5,9.5,20,8,7.5,18.5,11,22.5,33,26.5,68,105,98.5
